userID,sessionID,taskID,domain,expertiseLevel,iteration
595bd5c85ae9a80001ce3426,6313ab7a0333cd28f89be402,1,text,I,6
595bd5c85ae9a80001ce3426,6313ab7a0333cd28f89be402,2,text,I,6
595bd5c85ae9a80001ce3426,6313ab7a0333cd28f89be402,3,text,I,6
59cbec4f0aaf750001213f9c,633ad0d2d7f3550367395923,1,image,E,8
59cbec4f0aaf750001213f9c,633ad0d2d7f3550367395923,2,image,E,6
59cbec4f0aaf750001213f9c,633ad0d2d7f3550367395923,3,image,E,10
5a0faf7a120fb3000194961d,633adb2bfc32ea34f75d710e,1,image,I,8
5a0faf7a120fb3000194961d,633adb2bfc32ea34f75d710e,2,image,I,20
5a0faf7a120fb3000194961d,633adb2bfc32ea34f75d710e,3,image,I,6
5aad8904e1546900019aef8e,63185ca9025e4b3c816d4a93,1,text,N,6
5aad8904e1546900019aef8e,63185ca9025e4b3c816d4a93,2,text,N,6
5aad8904e1546900019aef8e,63185ca9025e4b3c816d4a93,3,text,N,7
5c6d938c79151c00017c7560,633adb146e7a9e013d20e73d,1,image,E,12
5c6d938c79151c00017c7560,633adb146e7a9e013d20e73d,2,image,E,6
5c6d938c79151c00017c7560,633adb146e7a9e013d20e73d,3,image,E,13
5c73a8b843afac0001428e6a,633adb02aad174b663411500,1,image,E,20
5c73a8b843afac0001428e6a,633adb02aad174b663411500,2,image,E,20
5c73a8b843afac0001428e6a,633adb02aad174b663411500,3,image,E,20
5d8c9182bc22d700191aef2b,63184729315736c1edef8502,1,text,E,7
5d8c9182bc22d700191aef2b,63184729315736c1edef8502,2,text,E,6
5d8c9182bc22d700191aef2b,63184729315736c1edef8502,3,text,E,7
5dcd5aa07e5deb02d76958d2,6313a9ecf3446e987974524c,1,text,N,6
5dcd5aa07e5deb02d76958d2,6313a9ecf3446e987974524c,2,text,N,9
5dcd5aa07e5deb02d76958d2,6313a9ecf3446e987974524c,3,text,N,7
5e767f6c99df851e0e93c629,633dd075156f328b6ee268d8,1,mesh,E,6
5e767f6c99df851e0e93c629,633dd075156f328b6ee268d8,2,mesh,E,7
5e767f6c99df851e0e93c629,633dd075156f328b6ee268d8,3,mesh,E,7
5eb17f5f5b4ec12749a65a24,633dcdb71fd1cb370a5effcf,1,mesh,N,6
5eb17f5f5b4ec12749a65a24,633dcdb71fd1cb370a5effcf,2,mesh,N,7
5eb17f5f5b4ec12749a65a24,633dcdb71fd1cb370a5effcf,3,mesh,N,7
5eceef5fa487421604c337ba,63184fb9181c4e0cb45d0564,1,text,E,7
5eceef5fa487421604c337ba,63184fb9181c4e0cb45d0564,2,text,E,6
5eceef5fa487421604c337ba,63184fb9181c4e0cb45d0564,3,text,E,7
5ee623674afa60375e30eec3,633dd84f08f359931265ac65,1,mesh,E,20
5ee623674afa60375e30eec3,633dd84f08f359931265ac65,2,mesh,E,20
5ee623674afa60375e30eec3,633dd84f08f359931265ac65,3,mesh,E,20
5ef0a7a320e4520009b3af18,633ad0d13d36ec96b479de67,1,image,I,7
5ef0a7a320e4520009b3af18,633ad0d13d36ec96b479de67,2,image,I,6
5ef0a7a320e4520009b3af18,633ad0d13d36ec96b479de67,3,image,I,6
5f0b339a2906a406fed096f0,633dd85149bbd0c385e2ed58,1,mesh,I,6
5f0b339a2906a406fed096f0,633dd85149bbd0c385e2ed58,2,mesh,I,7
5f0b339a2906a406fed096f0,633dd85149bbd0c385e2ed58,3,mesh,I,7
5f64f12fc0570701c3bfbe7a,633ab44538b61510eb4abb6a,1,image,I,7
5f64f12fc0570701c3bfbe7a,633ab44538b61510eb4abb6a,2,image,I,6
5f64f12fc0570701c3bfbe7a,633ab44538b61510eb4abb6a,3,image,I,20
5f6dff31d44be62b675aa6f7,633df3dd472256a894d6d80c,1,mesh,I,8
5f6dff31d44be62b675aa6f7,633df3dd472256a894d6d80c,2,mesh,I,6
5f6dff31d44be62b675aa6f7,633df3dd472256a894d6d80c,3,mesh,I,6
5f82e997eec0860404c8f790,633ad0c6e6ee431541d5d768,1,image,N,6
5f82e997eec0860404c8f790,633ad0c6e6ee431541d5d768,2,image,N,6
5f82e997eec0860404c8f790,633ad0c6e6ee431541d5d768,3,image,N,8
5f9aba6600cdf11f1c9b915c,633df148a4e18a435ce530bd,1,mesh,E,6
5f9aba6600cdf11f1c9b915c,633df148a4e18a435ce530bd,2,mesh,E,6
5f9aba6600cdf11f1c9b915c,633df148a4e18a435ce530bd,3,mesh,E,7
5fa507fa0776431b370bc0c7,6318773ef6e2e9155a9ceb6a,1,text,E,6
5fa507fa0776431b370bc0c7,6318773ef6e2e9155a9ceb6a,2,text,E,7
5fa507fa0776431b370bc0c7,6318773ef6e2e9155a9ceb6a,3,text,E,6
60087e9189ddb34b79b08be5,633df8d906b74e52ded6d848,1,mesh,E,6
60087e9189ddb34b79b08be5,633df8d906b74e52ded6d848,2,mesh,E,6
60087e9189ddb34b79b08be5,633df8d906b74e52ded6d848,3,mesh,E,7
6020206b9b158a5df011ff1f,6313a99350f223c12d725187,1,text,I,6
6020206b9b158a5df011ff1f,6313a99350f223c12d725187,2,text,I,9
6020206b9b158a5df011ff1f,6313a99350f223c12d725187,3,text,I,7
602ad4a0805527185ca10247,633dd54d7a569198960ebaed,1,mesh,I,11
602ad4a0805527185ca10247,633dd54d7a569198960ebaed,2,mesh,I,7
602ad4a0805527185ca10247,633dd54d7a569198960ebaed,3,mesh,I,15
602e757b94c5aea0de8a57ca,633ab44e968ce1ec41e33ccf,1,image,N,6
602e757b94c5aea0de8a57ca,633ab44e968ce1ec41e33ccf,2,image,N,6
602e757b94c5aea0de8a57ca,633ab44e968ce1ec41e33ccf,3,image,N,6
602fd43a4bcf02d4aac8ef3c,6318729913eec88a59e0cf77,1,text,I,6
602fd43a4bcf02d4aac8ef3c,6318729913eec88a59e0cf77,2,text,I,6
602fd43a4bcf02d4aac8ef3c,6318729913eec88a59e0cf77,3,text,I,6
6074de03363deb52b54eccf4,6313a9b99130b3e3f72ddacf,1,text,N,6
6074de03363deb52b54eccf4,6313a9b99130b3e3f72ddacf,2,text,N,6
6074de03363deb52b54eccf4,6313a9b99130b3e3f72ddacf,3,text,N,6
608c349d8e7f57e8f84d3a27,633de75e9e2898fb9218898b,1,mesh,N,6
608c349d8e7f57e8f84d3a27,633de75e9e2898fb9218898b,2,mesh,N,15
608c349d8e7f57e8f84d3a27,633de75e9e2898fb9218898b,3,mesh,N,6
6093c19a7a851064a7684f66,633ad16ad7c518d20a20e6ce,1,image,I,6
6093c19a7a851064a7684f66,633ad16ad7c518d20a20e6ce,2,image,I,8
6093c19a7a851064a7684f66,633ad16ad7c518d20a20e6ce,3,image,I,6
609a7d5287ca8fb83e0780d4,633de51bf89c3b37c80eba84,1,mesh,I,6
609a7d5287ca8fb83e0780d4,633de51bf89c3b37c80eba84,2,mesh,I,15
609a7d5287ca8fb83e0780d4,633de51bf89c3b37c80eba84,3,mesh,I,7
60a256f83ef6ada5debc47a9,633ac7c058cc5d8a24023271,1,image,N,7
60a256f83ef6ada5debc47a9,633ac7c058cc5d8a24023271,2,image,N,8
60a256f83ef6ada5debc47a9,633ac7c058cc5d8a24023271,3,image,N,6
60a57ec89138a40a4a5acc63,633ac43ca64721fa98fd0aa5,1,image,E,20
60a57ec89138a40a4a5acc63,633ac43ca64721fa98fd0aa5,2,image,E,20
60a57ec89138a40a4a5acc63,633ac43ca64721fa98fd0aa5,3,image,E,20
60c048ca962103e0da201a34,633deb09095876a0be1a8cb2,1,mesh,N,6
60c048ca962103e0da201a34,633deb09095876a0be1a8cb2,2,mesh,N,6
60c048ca962103e0da201a34,633deb09095876a0be1a8cb2,3,mesh,N,6
60d102d6cb41f508b8174aa6,633adb174fb669a28b023276,1,image,N,7
60d102d6cb41f508b8174aa6,633adb174fb669a28b023276,2,image,N,6
60d102d6cb41f508b8174aa6,633adb174fb669a28b023276,3,image,N,7
60d96d582f946a04161d162d,633ab54d5ac27cce80902405,1,image,I,7
60d96d582f946a04161d162d,633ab54d5ac27cce80902405,2,image,I,7
60d96d582f946a04161d162d,633ab54d5ac27cce80902405,3,image,I,7
60db1aa26a738eacd0a5e22f,633adb22795d5e9551c05bd2,1,image,N,20
60db1aa26a738eacd0a5e22f,633adb22795d5e9551c05bd2,2,image,N,20
60db1aa26a738eacd0a5e22f,633adb22795d5e9551c05bd2,3,image,N,20
60dbbc0ae0cea5626de2ac0a,633de8eb4877bb7c7bac9448,1,mesh,N,8
60dbbc0ae0cea5626de2ac0a,633de8eb4877bb7c7bac9448,2,mesh,N,9
60dbbc0ae0cea5626de2ac0a,633de8eb4877bb7c7bac9448,3,mesh,N,7
60e343946a7faddde88fbe3c,633de3e16f726340e8a9dcdc,1,mesh,I,6
60e343946a7faddde88fbe3c,633de3e16f726340e8a9dcdc,2,mesh,I,7
60e343946a7faddde88fbe3c,633de3e16f726340e8a9dcdc,3,mesh,I,7
60eee9b2a83c9d1e14de4788,6313a98a02d648bc1ae563a4,1,text,E,7
60eee9b2a83c9d1e14de4788,6313a98a02d648bc1ae563a4,2,text,E,6
60eee9b2a83c9d1e14de4788,6313a98a02d648bc1ae563a4,3,text,E,7
60f958dea810a7a0cf3d14d9,6313a9abe666651b5866c9f3,1,text,E,6
60f958dea810a7a0cf3d14d9,6313a9abe666651b5866c9f3,2,text,E,6
60f958dea810a7a0cf3d14d9,6313a9abe666651b5866c9f3,3,text,E,6
60fc39cce64c39328a7c8904,633ddaa943b972874c1a8cd2,1,mesh,I,13
60fc39cce64c39328a7c8904,633ddaa943b972874c1a8cd2,2,mesh,I,6
60fc39cce64c39328a7c8904,633ddaa943b972874c1a8cd2,3,mesh,I,6
6109d60c4aae2cc46ce9aaf7,633adb17032fc083b7fd0ab3,1,image,E,7
6109d60c4aae2cc46ce9aaf7,633adb17032fc083b7fd0ab3,2,image,E,9
6109d60c4aae2cc46ce9aaf7,633adb17032fc083b7fd0ab3,3,image,E,6
61141c855eb58d6a4e3d8d5b,6313a989e826e7bb15af699f,1,text,I,6
61141c855eb58d6a4e3d8d5b,6313a989e826e7bb15af699f,2,text,I,7
61141c855eb58d6a4e3d8d5b,6313a989e826e7bb15af699f,3,text,I,6
6116ee8fcd5414630d3527e8,6318420a8ec6b1f24f340381,1,text,E,5
6116ee8fcd5414630d3527e8,6318420a8ec6b1f24f340381,2,text,E,6
6116ee8fcd5414630d3527e8,6318420a8ec6b1f24f340381,3,text,E,6
611e182dfe4a100e7d271c7e,63184dbcc45a61b3c71856a2,1,text,N,6
611e182dfe4a100e7d271c7e,63184dbcc45a61b3c71856a2,2,text,N,6
611e182dfe4a100e7d271c7e,63184dbcc45a61b3c71856a2,3,text,N,8
611f5fca1c852d6d56e5bf8d,6318420b4898d77243a9eb27,1,text,E,6
611f5fca1c852d6d56e5bf8d,6318420b4898d77243a9eb27,2,text,E,6
611f5fca1c852d6d56e5bf8d,6318420b4898d77243a9eb27,3,text,E,7
61227cb134d2ee7a4a125ef7,631857db42b58da82ecd51da,1,text,N,6
61227cb134d2ee7a4a125ef7,631857db42b58da82ecd51da,2,text,N,6
61227cb134d2ee7a4a125ef7,631857db42b58da82ecd51da,3,text,N,15
612c95f4a142b9dc63cc45a0,633adb1509d5753ecb79de10,1,image,I,13
612c95f4a142b9dc63cc45a0,633adb1509d5753ecb79de10,2,image,I,6
612c95f4a142b9dc63cc45a0,633adb1509d5753ecb79de10,3,image,I,6
6133586c82c52424d8d5ed6a,633adb251272e1ffa32b766c,1,image,N,6
6133586c82c52424d8d5ed6a,633adb251272e1ffa32b766c,2,image,N,6
6133586c82c52424d8d5ed6a,633adb251272e1ffa32b766c,3,image,N,6
6136aee758e3f41323d8c0c7,6313a9b4841f53deca112582,1,text,I,8
6136aee758e3f41323d8c0c7,6313a9b4841f53deca112582,2,text,I,6
6136aee758e3f41323d8c0c7,6313a9b4841f53deca112582,3,text,I,9
613bbfebd7cdd60585f6a3a2,633e0f5bcc5e85c92c82c8e1,1,mesh,N,6
613bbfebd7cdd60585f6a3a2,633e0f5bcc5e85c92c82c8e1,2,mesh,N,6
613bbfebd7cdd60585f6a3a2,633e0f5bcc5e85c92c82c8e1,3,mesh,N,6
613e4bf960ca68f8de00e5e7,633ddec2ff79377b1ae26907,1,mesh,I,6
613e4bf960ca68f8de00e5e7,633ddec2ff79377b1ae26907,2,mesh,I,6
613e4bf960ca68f8de00e5e7,633ddec2ff79377b1ae26907,3,mesh,I,8
613efd8304b3c6f1247354bb,633ddaac38c2a8c1682b8725,1,mesh,E,6
613efd8304b3c6f1247354bb,633ddaac38c2a8c1682b8725,2,mesh,E,6
613efd8304b3c6f1247354bb,633ddaac38c2a8c1682b8725,3,mesh,E,6
614e82d5717d691f24efffc0,633de8ac75b412791b6e0cfd,1,mesh,E,6
614e82d5717d691f24efffc0,633de8ac75b412791b6e0cfd,2,mesh,E,6
614e82d5717d691f24efffc0,633de8ac75b412791b6e0cfd,3,mesh,E,6
6150c67f0ff4d92f7621a1b3,633adb21707d9f30548523b6,1,image,N,6
6150c67f0ff4d92f7621a1b3,633adb21707d9f30548523b6,2,image,N,6
6150c67f0ff4d92f7621a1b3,633adb21707d9f30548523b6,3,image,N,6
6154918f83e8ca861b23ea04,633de51c2fb63b5facb095e8,1,mesh,N,6
6154918f83e8ca861b23ea04,633de51c2fb63b5facb095e8,2,mesh,N,6
6154918f83e8ca861b23ea04,633de51c2fb63b5facb095e8,3,mesh,N,6
615b26a3c79a404be3c4c35e,6313a99f9376ae48484ef603,1,text,N,6
615b26a3c79a404be3c4c35e,6313a99f9376ae48484ef603,2,text,N,6
615b26a3c79a404be3c4c35e,6313a99f9376ae48484ef603,3,text,N,6
61612589346d8995f94f2dc9,6313a98072ec9bc284934197,1,text,I,8
61612589346d8995f94f2dc9,6313a98072ec9bc284934197,2,text,I,7
61612589346d8995f94f2dc9,6313a98072ec9bc284934197,3,text,I,6
6166c8527a09b5122fcea989,633ad0c6ea74d8280336d604,1,image,E,6
6166c8527a09b5122fcea989,633ad0c6ea74d8280336d604,2,image,E,7
6166c8527a09b5122fcea989,633ad0c6ea74d8280336d604,3,image,E,18
6166d663ad32ab706018e2e3,633adb2d59add8816320e6df,1,image,I,6
6166d663ad32ab706018e2e3,633adb2d59add8816320e6df,2,image,I,6
6166d663ad32ab706018e2e3,633adb2d59add8816320e6df,3,image,I,6
61687f084dd0608f43a02d0e,6318420e2b3fc7e655110ab8,1,text,N,6
61687f084dd0608f43a02d0e,6318420e2b3fc7e655110ab8,2,text,N,6
61687f084dd0608f43a02d0e,6318420e2b3fc7e655110ab8,3,text,N,8
6169e8a8311d269013eb73c7,633de518141dceb3b56957e2,1,mesh,N,20
6169e8a8311d269013eb73c7,633de518141dceb3b56957e2,2,mesh,N,20
6169e8a8311d269013eb73c7,633de518141dceb3b56957e2,3,mesh,N,20
